time,temperature_2m_max,temperature_2m_min,precipitation_sum
2015-11-01,28.3,24.7,86.4
2015-11-02,29.6,24.4,15.2
2015-11-03,32.5,24.5,2.6
2015-11-04,32.1,24.8,6.2
2015-11-05,29.7,24.2,16.3
2015-11-06,31.6,24.1,2.0
2015-11-07,31.5,24.3,35.6
2015-11-08,28.1,24.5,95.2
2015-11-09,27.5,24.8,6.6
2015-11-10,29.0,24.1,1.4
2015-11-11,31.5,24.0,1.3
2015-11-12,32.1,24.5,0.9
2015-11-13,29.9,24.3,13.7
2015-11-14,29.9,24.1,4.2
2015-11-15,27.1,24.5,16.1
2015-11-16,30.9,24.2,0.5
2015-11-17,32.0,24.5,2.0
2015-11-18,31.7,24.9,17.6
2015-11-19,30.9,25.1,6.0
2015-11-20,32.1,24.8,4.8
2015-11-21,32.1,24.2,4.1
2015-11-22,28.5,25.0,21.3
2015-11-23,31.3,24.8,12.7
2015-11-24,31.5,25.0,0.4
2015-11-25,32.5,25.1,0.0
2015-11-26,32.4,25.1,0.4
2015-11-27,32.1,23.8,0.4
2015-11-28,31.2,25.1,0.2
2015-11-29,32.2,25.4,0.0
2015-11-30,30.6,25.5,13.4
2015-12-01,31.1,24.9,18.2
2015-12-02,30.0,24.8,5.6
2015-12-03,31.9,24.8,1.2
2015-12-04,31.9,24.5,1.9
2015-12-05,29.7,25.8,4.0
2015-12-06,29.7,25.1,5.3
2015-12-07,29.2,24.6,8.8
2015-12-08,28.2,24.8,10.1
2015-12-09,30.5,24.8,7.7
2015-12-10,30.8,24.6,8.5
2015-12-11,30.5,24.2,13.9
2015-12-12,30.9,25.5,9.3
2015-12-13,31.9,25.1,9.7
2015-12-14,30.7,24.8,8.7
2015-12-15,31.2,24.2,8.7
2015-12-16,30.5,24.2,1.2
2015-12-17,31.8,24.2,0.0
2015-12-18,31.5,24.6,0.9
2015-12-19,30.3,24.4,0.8
2015-12-20,31.6,24.8,0.1
2015-12-21,32.1,25.1,0.0
2015-12-22,32.2,24.5,0.0
2015-12-23,31.5,24.0,0.0
2015-12-24,31.0,23.7,0.0
2015-12-25,32.3,23.5,0.0
2015-12-26,31.8,23.2,0.0
2015-12-27,33.8,22.3,0.0
2015-12-28,34.5,24.9,0.0
2015-12-29,33.4,24.0,0.0
2015-12-30,33.1,25.0,0.0
2015-12-31,32.5,23.1,0.0
2016-01-01,33.1,20.2,0.0
2016-01-02,33.1,19.7,0.0
2016-01-03,33.0,21.0,0.0
2016-01-04,33.4,20.8,0.0
2016-01-05,32.9,21.9,0.0
2016-01-06,33.8,22.0,0.0
2016-01-07,33.3,23.8,0.0
2016-01-08,33.0,23.9,0.0
2016-01-09,32.3,24.3,0.0
2016-01-10,32.7,25.0,0.0
2016-01-11,32.9,24.6,0.0
2016-01-12,32.9,24.5,0.0
2016-01-13,32.1,25.3,0.1
2016-01-14,31.9,24.5,0.0
2016-01-15,32.6,24.3,0.0
2016-01-16,32.4,24.5,0.5
2016-01-17,33.4,23.6,0.3
2016-01-18,32.4,24.3,0.4
2016-01-19,33.4,24.4,0.0
2016-01-20,34.0,25.3,0.2
2016-01-21,34.2,26.1,0.6
2016-01-22,33.3,24.7,1.6
2016-01-23,34.4,25.6,0.0
2016-01-24,34.5,25.3,0.0
2016-01-25,34.1,25.6,0.7
2016-01-26,33.6,25.8,1.2
2016-01-27,33.2,25.5,0.0
2016-01-28,33.8,25.6,0.0
2016-01-29,33.7,25.4,0.0
2016-01-30,34.3,25.4,0.0
2016-01-31,34.2,23.0,0.0
2016-02-01,33.9,23.3,0.0
2016-02-02,34.5,22.0,0.0
2016-02-03,32.9,22.7,0.0
2016-02-04,33.7,22.2,0.0
2016-02-05,33.4,22.8,0.0
2016-02-06,33.4,22.7,0.0
2016-02-07,33.6,25.2,0.0
2016-02-08,34.8,25.1,0.1
2016-02-09,32.5,26.8,0.9
2016-02-10,34.7,25.8,1.3
2016-02-11,33.9,24.9,3.4
2016-02-12,33.2,26.5,0.2
2016-02-13,32.8,26.2,0.7
2016-02-14,33.8,25.8,0.5
2016-02-15,33.5,26.4,0.2
2016-02-16,35.9,25.5,0.4
2016-02-17,35.7,26.5,0.0
2016-02-18,36.7,26.3,0.0
2016-02-19,36.6,26.9,0.0
2016-02-20,34.9,26.0,0.9
2016-02-21,35.6,26.3,0.0
2016-02-22,37.4,27.6,0.0
2016-02-23,34.5,27.6,0.2
2016-02-24,33.2,27.0,0.9
2016-02-25,36.5,27.5,1.2
2016-02-26,37.4,26.1,0.0
2016-02-27,36.3,27.3,0.5
2016-02-28,36.8,26.7,0.5
2016-02-29,36.7,26.3,0.2
2016-03-01,36.6,26.8,0.1
2016-03-02,35.2,26.5,0.0
2016-03-03,35.7,26.1,0.0
2016-03-04,35.2,26.1,0.0
2016-03-05,35.9,26.4,0.0
2016-03-06,36.2,26.3,0.5
2016-03-07,35.5,27.2,0.7
2016-03-08,36.1,27.1,0.7
2016-03-09,36.5,26.5,0.5
2016-03-10,36.5,26.8,0.5
2016-03-11,37.1,28.2,0.8
2016-03-12,36.1,27.6,1.6
2016-03-13,37.0,26.9,0.7
2016-03-14,37.4,27.9,0.5
2016-03-15,34.8,27.4,3.5
2016-03-16,35.9,27.2,0.0
